Time (UTC)	prs(m)	rad(m)
2019-11-28 10:08:29	1.954	2.943
2019-11-28 10:09:29	1.953	2.942
2019-11-28 10:10:29	1.953	2.941
2019-11-28 10:11:29	1.952	2.94
2019-11-28 10:12:29	1.951	2.94
2019-11-28 10:13:29	1.951	2.94
2019-11-28 10:14:29	1.957	2.945
2019-11-28 10:15:29	1.954	2.943
2019-11-28 10:16:29	1.952	2.94
2019-11-28 10:17:29	1.958	2.946
2019-11-28 10:18:29	1.957	2.945
2019-11-28 10:19:29	1.954	2.942
2019-11-28 10:20:29	1.953	2.941
2019-11-28 10:21:29	1.969	2.958
2019-11-28 10:22:29	1.973	2.961
2019-11-28 10:23:29	1.969	2.957
2019-11-28 10:24:29	1.968	2.956
2019-11-28 10:25:29	1.965	2.953
2019-11-28 10:26:29	1.961	2.949
2019-11-28 10:27:29	1.958	2.947
2019-11-28 10:28:29	1.961	2.949
2019-11-28 10:29:29	1.961	2.949
2019-11-28 10:30:29	1.958	2.946
2019-11-28 10:31:29	1.967	2.955
2019-11-28 10:32:29	1.968	2.957
2019-11-28 10:33:29	1.962	2.95
2019-11-28 10:34:29	1.96	2.948
2019-11-28 10:35:29	1.962	2.951
2019-11-28 10:36:29	1.964	2.953
2019-11-28 10:37:29	1.966	2.954
2019-11-28 10:38:29	1.971	2.96
2019-11-28 10:39:29	1.977	2.965
2019-11-28 10:40:29	1.977	2.965
2019-11-28 10:41:29	1.97	2.958
2019-11-28 10:42:29	1.975	2.964
2019-11-28 10:43:29	1.974	2.962
2019-11-28 10:44:29	1.976	2.964
2019-11-28 10:45:29	1.976	2.965
2019-11-28 10:46:29	1.97	2.958
2019-11-28 10:47:29	1.97	2.958
2019-11-28 10:48:29	1.969	2.958
2019-11-28 10:49:29	1.972	2.961
2019-11-28 10:50:29	1.97	2.958
2019-11-28 10:51:29	1.971	2.959
2019-11-28 10:52:29	1.968	2.956
2019-11-28 10:53:29	1.965	2.954
2019-11-28 10:54:29	1.972	2.96
2019-11-28 10:55:29	1.971	2.959
2019-11-28 10:56:29	1.973	2.961
2019-11-28 10:57:29	1.975	2.964
2019-11-28 10:58:29	1.978	2.967
2019-11-28 10:59:29	1.982	2.97
2019-11-28 11:00:29	1.979	2.967
